rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled
3690,351–400,Howard University,45.0–46.9,3690,45.7,151,17.6,858,79.2,340,36.9,1753,34.3,1125,private,0,/world-university-rankings/howard-university,131587,United States,"8,782",8.2,6%,70 : 30,Howard University,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sport Science,Chemical Engineering,Civil Engineering,Psychology,Sociology,Other Health,Biological Sciences,General Engineering,Chemistry,Art, Performing Arts & Design,Computer Science,Law,Medicine & Dentistry,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Architecture,Business & Management,Mathematics & Statistics,Education",False,False,False
3700,351–400,Imam Mohammad Ibn Saud Islamic University,45.0–46.9,3700,29.6,539,17.7,850,89.6,156,40.6,879,65.1,403,master_account,0,/world-university-rankings/imam-mohammad-ibn-saud-islamic-university,623490,Saudi Arabia,"43,110",10.8,3%,39 : 61,Imam Mohammad Ibn Saud Islamic University,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Education,Mathematics & Statistics,Archaeology,Medicine & Dentistry,Architecture,Electrical & Electronic Engineering,Chemistry,Business & Management,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Veterinary Science,Geography,Economics & Econometrics,Agriculture & Forestry,Communication & Media Studies,Computer Science,Law,Sociology,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,General Engineering,Sport Science,Psychology,Biological Sciences,Civil Engineering",False,False,False
3710,351–400,IMT Atlantique,45.0–46.9,3710,37.3,297,35.8,298,50.1,850,90.6,64,77.2,247,master_account,0,/world-university-rankings/imt-atlantique,622476,France,"1,436",7.7,33%,25 : 75,IMT Atlantique,"Computer Science,Mathematics & Statistics,Business & Management,Other Health,General Engineering,Chemical Engineering,Physics & Astronomy,Electrical & Electronic Engineering",False,False,False
3720,351–400,James Cook University,45.0–46.9,3720,23.3,849,28.2,470,78.0,360,43.4,649,93.8,67,master_account,1,/world-university-rankings/james-cook-university,131521,Australia,"12,825",20.1,32%,62 : 38,James Cook University,"Computer Science,Veterinary Science,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Business & Management,Law,Psychology,Accounting & Finance,Chemical Engineering,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Biological Sciences,Sociology,Archaeology,Education,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Agriculture & Forestry,Mathematics & Statistics,Other Health,Sport Science",False,False,False
3730,351–400,JSS Academy of Higher Education and Research,45.0–46.9,3730,34.4,368,9.4,1592,99.3,21,38.4,1208,35.2,1091,master_account,0,/world-university-rankings/jss-academy-higher-education-and-research,587919,India,"7,891",9.5,7%,54 : 46,JSS Academy of Higher Education and Research,"Other Health,Medicine & Dentistry,Business & Management,Biological Sciences",False,False,False
3740,351–400,University of Kent,45.0–46.9,3740,27.9,606,29.5,439,67.6,524,37.4,1473,92.0,93,master_account,0,/world-university-rankings/university-kent,832,United Kingdom,"16,705",17.0,29%,54 : 46,University of Kent,"Art, Performing Arts & Design,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,History, Philosophy & Theology,Other Health,Chemistry,Geography,Electrical & Electronic Engineering,Biological Sciences,Sociology,Economics & Econometrics,Law,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Sport Science,Archaeology,Education,Mathematics & Statistics,Architecture,Medicine & Dentistry,Veterinary Science,Business & Management,Agriculture & Forestry,Politics & International Studies (incl Development Studies)",False,False,False
3750,351–400,Khalifa University,45.0–46.9,3750,31.2,479,37.1,278,56.2,735,94.2,45,92.8,83,master_account,11,/world-university-rankings/khalifa-university,622542,United Arab Emirates,"3,029",8.8,22%,58 : 42,Khalifa University,"Medicine & Dentistry,Chemistry,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering",False,False,False
3760,351–400,Kurdistan University of Medical Sciences,45.0–46.9,3760,36.1,321,9.8,1544,98.4,38,37.6,1395,23.7,1533,master_account,0,/world-university-rankings/kurdistan-university-medical-sciences,681865,Iran,"3,181",10.5,2%,49 : 51,Kurdistan University of Medical Sciences,"Biological Sciences,Psychology,Education,Medicine & Dentistry,Other Health,Geology, Environmental, Earth & Marine Sciences",False,False,False
3770,351–400,Leuphana University of Lüneburg,45.0–46.9,3770,25.2,729,22.1,662,90.0,151,38.9,1135,54.3,588,master_account,0,/world-university-rankings/leuphana-university-luneburg,638525,Germany,"7,839",26.1,7%,62 : 38,Leuphana University of Lüneburg,"Communication & Media Studies,Economics & Econometrics,General Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Psychology,Education,Law,Politics & International Studies (incl Development Studies)",False,False,False
3780,351–400,University of Liège,45.0–46.9,3780,26.8,657,38.4,258,62.2,619,85.7,92,72.4,313,master_account,0,/world-university-rankings/university-liege,788,Belgium,"21,910",26.8,21%,58 : 42,University of Liège,"Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Education,Biological Sciences,Psychology,Law,Chemistry,Accounting & Finance,Archaeology,Chemical Engineering,Communication & Media Studies,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,General Engineering,Geography,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Veterinary Science,Other Health,Sport Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,Business & Management,Sociology",False,False,False
